index,domain,url
1,pkobp.pl,https://www.pkobp.pl/klient-indywidualny/aplikacja-iko-ipko
1,dolarhoy.com,https://dolarhoy.com/tag/bancos
1,biblehub.com,https://biblehub.com/genesis/1.htm
1,mypoints.com,https://www.mypoints.com/shop-by-brand/VistaPrint
1,discordapp.com,https://discordapp.com/company-information
1,friday.ru,https://friday.ru
1,ladbrokes.com,https://www.ladbrokes.com/en/sports
1,healthline.com,https://www.healthline.com/
1,yesstyle.com,https://yesstyle.com/en/home.html
1,cls.cn,https://www.cls.cn/detail/2220461
1,wolterskluwer.com,https://wolterskluwer.com/en
1,otto.de,https://otto.de/
1,nikkei.com,https://nikkei.com/search
1,get-gx.co,https://get-gx.co/zh-cn
1,comunidad.madrid,https://comunidad.madrid#main-content
1,awecrptjmp.com,https://awecrptjmp.com/zh/terms-and-conditions
1,lepida.it,https://lepida.it/lavora-con-noi/2025/avviso-pubblico-lindividuazione-candidati-idonei-conferimento-dellincarico-fiduciario-direttore
1,pathofexile.com,https://www.pathofexile.com/search
1,skeb.jp,https://skeb.jp/
1,estadao.com.br,https://www.estadao.com.br/
1,stepstone.de,https://stepstone.de/de
1,playground.ru,https://playground.ru/bonus/prizes/
1,channel4.com,https://www.channel4.com/4viewers/faqs/all-4/how-do-i-watch-all-4-what-are-minimum-operating-requirements
1,uic.edu,http://maps.uic.edu/?utm_source=eyebrow
1,uzex.uz,https://uzex.uz/
1,golfdigest.co.jp,https://golfdigest.co.jp
1,toyota.com,https://toyota.com
1,convertcase.net,https://convertcase.net/
1,dochub.com,https://www.dochub.com/
1,trello.com,https://trello.com#skip-target
1,googleblog.com,https://googleblog.com#jump-content
1,ontvtonight.com,https://www.ontvtonight.com/user/provider
1,exblog.jp,https://exblog.jp/
1,gramedia.com,https://gramedia.com/promo
1,gamespot.com,https://www.gamespot.com/articles/arc-raiders-candleberries-guide/1100-6536953/
1,smodin.io,https://smodin.io/
1,247mahjong.com,https://247mahjong.com/
1,amalgama-lab.com,https://amalgama-lab.com/
1,resume.io,https://resume.io
1,tving.com,https://tving.com/
1,hateblo.jp,https://plus14.hateblo.jp/entry/2025/12/17/010844
1,teleparty.com,https://teleparty.com/privacy
1,bill-one.com,https://bill-one.com/
1,fapello.com,https://fapello.com/
1,filehippo.com,https://filehippo.com/
1,scielo.org,http://old.scielo.org/
1,asus.com,https://www.asus.com/content/Accessibility-Policy/
1,cuisineaz.com,https://cuisineaz.com/
1,mzamin.com,https://mzamin.com
1,correiobraziliense.com.br,https://www.correiobraziliense.com.br
1,dice.com,https://www.dice.com/hiring/pricing
1,ccb.com,http://www2.ccb.com/chn/2022-05/19/article_2022061023171296350.shtml
1,etudiant.gouv.fr,https://etudiant.gouv.fr#block-menuinfo-menu
1,gnavi.co.jp,https://gnavi.co.jp/
1,specialized.com,https://support.specialized.com
1,wayne.edu,https://giving.wayne.edu
1,harvestapp.com,https://harvestapp.com#main-content
1,farming-simulator.com,https://farming-simulator.com?lang=fr&country=ch
1,jointherealworld.com,https://www.jointherealworld.com/
1,jisho.org,https://jisho.org/about
1,exceedlms.com,https://exceedlms.com/
1,registrocivil.org.br,https://registrocivil.org.br
1,net.hr,https://net.hr/
1,1und1.de,https://1und1.de#search
1,nos.nl,https://nos.nl#ccm_notification
1,cloudinary.com,https://cloudinary.com/
1,hirstart.hu,https://hirstart.hu/legolvasottabb_50_hir.php
1,e-boks.dk,https://brugersupport.e-boks.dk
1,sport.orf.at,https://sport.orf.at#content
1,fatcoupon.com,https://fatcoupon.com/home
1,ebay.com,https://ebay.com#mainContent
1,watchseries.im,https://watchseries.im/
1,cactus-search.com,https://cactus-search.com/api/monet-in-out?url=https://walmart.com/&campaignId=00700
1,sports.daum.net,https://sports.daum.net#daumBody
1,softonic.com.br,https://www.softonic.com.br/artigos
1,numerade.com,https://numerade.com/
1,cnnturk.com,https://www.cnnturk.com
1,caranddriver.com,https://caranddriver.com/search/
1,wral.com,https://www.wral.com/sports/nc-state-first-bowl-win-since-2017-memphis-gasparilla-bowl-december-2025/
1,makeuseof.com,https://makeuseof.com/
1,radiko.jp,https://radiko.jp/?_escaped_fragment_=%2Ftimeshift
1,worksmobile.com,https://worksmobile.com/
1,raidbots.com,https://raidbots.com/simbot/droptimizer
1,ssstik.io,https://ssstik.io/en-1
1,diy.com,http://www.diy.com/
1,mahkamahagung.go.id,https://mahkamahagung.go.id/id/keputusan
1,layerx.jp,https://layerx.jp/partner/
1,flashscore.co.uk,https://flashscore.co.uk/
1,m3.com,https://m3.com#section01
1,ebay.it,https://ebay.it#mainContent
1,caracoltv.com,https://caracoltv.com/
1,mirrormedia.mg,https://mirrormedia.mg/
1,zus.pl,https://zus.pl#main-content
1,hbo.com,https://hbo.com/
1,tiktok.com,https://tiktok.com/
1,hatenablog.com,https://pes09.hatenablog.com/entry/2025/12/13/%E8%B2%B7%E3%81%A3%E3%81%A6%E3%82%88%E3%81%8B%E3%81%A3%E3%81%9F2025
1,iloveimg.com,https://iloveimg.com/
1,xvideos.es,https://xvideos.es/?k=china&top
1,whatsapp.com,https://whatsapp.com#content-wrapper
1,rock.porn,https://rock.porn/
